# Time(s) Cost Type
0.0105336 0.120067 approximate
0.0205988 0.120067 approximate
0.0314324 0.120067 approximate
0.0427229 0.120067 approximate
0.0535114 0.120067 approximate
0.0636044 0.120067 approximate
0.0745042 0.120067 approximate
0.0852 0.120067 approximate
0.0960846 0.120067 approximate
0.106135 0.120067 approximate
0.117392 0.120067 approximate
0.128374 0.120067 approximate
0.13873 0.120067 approximate
0.149617 0.120067 approximate
0.160651 0.120067 approximate
0.17168 0.120067 approximate
0.182409 0.120067 approximate
0.195075 0.120067 approximate
0.20579 0.120067 approximate
0.215892 0.120067 approximate
0.226778 0.120067 approximate
0.237133 0.120067 approximate
0.247965 0.120067 approximate
0.258003 0.120067 approximate
0.268819 0.120067 approximate
0.279899 0.120067 approximate
0.29085 0.120067 approximate
0.301772 0.120067 approximate
0.312193 0.120067 approximate
0.323043 0.120067 approximate
0.33404 0.120067 approximate
0.345088 0.120067 approximate
0.356082 0.120067 approximate
0.366993 0.120067 approximate
0.377725 0.120067 approximate
0.387958 0.120067 approximate
0.398832 0.120067 approximate
0.409354 0.120067 approximate
0.421653 0.120067 approximate
0.432508 0.120067 approximate
0.443148 0.120067 approximate
0.454101 0.120067 approximate
0.464187 0.120067 approximate
0.475196 0.120067 approximate
0.485225 0.120067 approximate
0.497537 0.120067 approximate
0.5084 0.120067 approximate
0.518736 0.120067 approximate
0.529473 0.120067 approximate
0.540105 0.120067 approximate
0.5508 0.120067 approximate
0.561423 0.120067 approximate
0.572428 0.120067 approximate
0.583331 0.120067 approximate
